POSTAL_CODE,CODE,YEAR,CITY,TITLE
DE-NI,XEMZ,2021-64,BRAUNSCHWEIG,DIE PRAGER BOTSCHAFT I
DE-NI,XEMZ,2021-65,BRAUNSCHWEIG,DIE PRAGER BOTSCHAFT II
DE-NI,XEMZ,2023-27,BRAUNSCHWEIG,KIRCHENRAUM FÜR DEMONSTRANTEN
DE-NI,XEMZ,2023-43,BRAUNSCHWEIG,DIE EUROPÄISCHE UNION
DE-NI,XEMZ,2024-3,BRAUNSCHWEIG,DAS OST - AMPELMÄNNSCHEN
DE-NI,XEMZ,2024-8,BRAUNSCHWEIG,DAS BRANDENBURGER TOR - SYMBOL DER EINHEIT
DE-NI,XEMZ,2025-20,BRAUNSCHWEIG,DIE EINFÜHRUNG DES EURO
DE-NI,XEMZ,2025-36,BRAUNSCHWEIG,SCHABOWSKIS ZETTEL
DE-NI,XEMZ,2025-6,BRAUNSCHWEIG,DAS BEGRÜSSUNGSGELD
DE-NI,XEPC,2017-1,HANNOVER,HANNOVERNEUES RATHAUS
DE-NI,XEPC,2018-2,HANNOVER,HANNOVERHERRENHÄUSER GÄRTEN
DE-NI,XEPC,2019-3,HANNOVER,HANNOVERNEUES RATHAUS
DE-NI,XEPC,2022-4,HANNOVER,HANNOVERNEUES RATHAUS
DE-NI,XEPC,2024-5,HANNOVER,HANNOVERNEUES RATHAUS
DE-NI,XEPL,2020-1,BRAUNSCHWEIG,TERENCE HILL & BUD SPENCER
DE-NI,XEPL,2021-1,BRAUNSCHWEIG,TERENCE HILL & BUD SPENCER
DE-NI,XEPL,2022-2,BRAUNSCHWEIG,BUD SPENCER - DIE LEGENDE
DE-NI,XEPL,2023-1,BRAUNSCHWEIG,TERENCE HILL & BUD SPENCER
DE-NI,XEQA,2022-AR,--,ARGENTINA
DE-NI,XEQA,2022-AU,--,AUSTRALIA
DE-NI,XEQA,2022-BE,--,BELGIË
DE-NI,XEQA,2022-BR,--,BRASIL
DE-NI,XEQA,2022-CA,--,CANADA
